Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
418,B05,5,1845,5,2,H,6.74
419,C05,5,2126,5,2,I,5.27
420,D05,5,1323,5,2,J,6.52
421,E05,5,1822,5,3,A,8.17
422,F05,5,1075,5,3,B,6.54
423,G05,5,738,5,3,C,7.09
424,H05,5,824,5,3,D,5.38
425,A06,5,132,5,3,E,6.49
426,B06,5,962,5,3,F,7.6
427,C06,5,501,5,3,G,4.89
428,D06,5,1542,5,3,H,5.9
429,E06,5,255,5,3,I,5.59
430,F06,5,695,5,3,J,6.02
431,G06,5,1528,5,4,A,5.19
432,H06,5,765,5,4,B,8.52
433,A07,5,1855,5,4,C,9.76
434,B07,5,711,5,4,D,7.72
435,C07,5,1856,5,4,E,9.37
436,D07,5,1561,5,4,F,7.68
437,E07,5,1203,5,4,G,9.45
438,F07,5,1921,5,4,H,6.26
439,G07,5,993,5,4,I,4.28
440,H07,5,2341,5,4,J,4.9
441,A08,5,1835,5,5,A,5
442,B08,5,515,5,5,B,5.56
443,C08,5,1939,5,5,C,2.73
444,D08,5,2139,5,5,D,6.53
445,E08,5,1506,5,5,E,7.13
446,F08,5,177,5,5,F,4.36
447,G08,5,453,5,5,G,3.02
448,H08,5,1464,5,5,H,6.1
449,A09,5,181,5,5,I,6.55
450,B09,5,1950,5,5,J,6.63
451,C09,5,2386,5,6,A,5.04
452,D09,5,533,5,6,B,6.05
453,E09,5,545,5,6,C,9.15
454,F09,5,2031,5,6,D,5.94
455,G09,5,825,5,6,E,4.67
456,H09,5,185,5,6,F,7.32
457,A10,5,373,5,6,G,8.76
458,B10,5,276,5,6,H,5.7
459,C10,5,1753,5,6,I,5.66
460,D10,5,1370,5,6,J,9.07
461,E10,5,885,5,7,A,8.98
462,F10,5,1384,5,7,B,7.49
463,G10,5,188,5,7,C,5.03
464,H10,5,292,5,7,D,6.85
465,A11,5,87,5,7,E,11
466,B11,5,865,5,7,F,8.17
467,C11,5,627,5,7,G,18.53
468,D11,5,1781,5,7,H,9.89
469,E11,5,2318,5,7,I,7.79
470,F11,5,1799,5,7,J,13.36
471,G11,5,357,5,8,A,11.41
472,H11,5,696,5,8,B,11.06
473,A12,5,1257,5,8,C,10.25
474,B12,5,978,5,8,D,9.21
475,C12,5,1134,5,8,E,8.69
476,D12,5,1118,5,8,F,6.68
477,E12,5,151,5,8,G,6.68
478,F12,5,1390,5,8,H,8.49
479,G12,5,297,5,8,I,8.63
480,H12,5,2335,5,8,J,6.35
481,A01,6,879,5,9,A,7.55
482,B01,6,662,5,9,B,7.7
483,C01,6,591,5,9,C,7.81
484,D01,6,2326,5,9,D,9.72
485,E01,6,2124,5,9,E,5.29
486,F01,6,1395,5,9,F,6.21
487,G01,6,528,5,9,G,7.7
488,H01,6,1971,5,9,H,9.68
489,A02,6,1179,5,9,I,6.39
490,B02,6,1467,5,9,J,5.51
491,C02,6,1678,5,10,A,10.2
492,D02,6,706,5,10,B,7.5
493,E02,6,509,5,10,C,6.33
494,F02,6,2225,5,10,D,9.78
495,G02,6,1651,5,10,E,8.03
496,H02,6,2138,5,10,F,6.89
497,A03,6,629,5,10,G,7.26
498,B03,6,1834,5,10,H,4.58
499,C03,6,2296,5,10,I,5.38
500,D03,6,1093,5,10,J,4.79
501,E03,6,1532,6,1,A,3.25
502,F03,6,2038,6,1,B,4.99
503,G03,6,469,6,1,C,4.47
504,H03,6,1210,6,1,D,5.66
505,A04,6,685,6,1,E,3.91
506,B04,6,2157,6,1,F,5.45
507,C04,6,1,6,1,G,7.63
508,D04,6,41,6,1,H,7.86
509,E04,6,1412,6,1,I,8.44
510,F04,6,1405,6,1,J,7.39
511,G04,6,1956,6,2,A,7.96
512,H04,6,758,6,2,B,6.49
513,A05,6,2195,6,2,C,4.8
514,B05,6,674,6,2,D,7.49
515,C05,6,407,6,2,E,8.51
516,D05,6,1374,6,2,F,6.24
517,E05,6,1247,6,2,G,3.21
518,F05,6,2120,6,2,H,6.52
519,G05,6,450,6,2,I,6.17
520,H05,6,712,6,2,J,6.11
521,A06,6,334,6,3,A,7.03
522,B06,6,228,6,3,B,6.43
523,C06,6,1020,6,3,C,9.15
524,D06,6,406,6,3,D,5.68
525,E06,6,1691,6,3,E,5.63
526,F06,6,646,6,3,F,5.4
527,G06,6,1660,6,3,G,6.36
528,H06,6,1010,6,3,H,8.17
529,A07,6,1013,6,3,I,5.13
530,B07,6,1287,6,3,J,5.25
531,C07,6,2387,6,4,A,9.27
532,D07,6,1811,6,4,B,6.51
533,E07,6,565,6,4,C,8.06
534,F07,6,1012,6,4,D,3.96
535,G07,6,844,6,4,E,3.65
536,H07,6,32,6,4,F,4.89
537,A08,6,1831,6,4,G,4.51
